date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Earnings From Equity Interest Net Of Tax,Other Operating Expenses
2025-01-31,0.0,0.132649,86137000000.0,72880000000.0,1864000000.0,32639000000.0,86137000000.0,84273000000.0,1539000000.0,247000000.0,1786000000.0,72880000000.0,72880000000.0,49044000000.0,81453000000.0,24804000000.0,24555000000.0,2.94,2.97,72880000000.0,72880000000.0,72880000000.0,72880000000.0,72880000000.0,11146000000.0,84026000000.0,1034000000.0,1034000000.0,1539000000.0,247000000.0,1786000000.0,81453000000.0,16405000000.0,12914000000.0,3491000000.0,97858000000.0,32639000000.0,130497000000.0,130497000000.0,NVDA,0.0,0.0,0.0,,,,,,0.0,,,
2024-01-31,0.0,0.12,35583000000.0,29760000000.0,1508000000.0,16621000000.0,35583000000.0,34075000000.0,609000000.0,257000000.0,866000000.0,29760000000.0,29760000000.0,27950000000.0,32972000000.0,24940000000.0,24690000000.0,1.19,1.21,29760000000.0,29760000000.0,29760000000.0,29760000000.0,29760000000.0,4058000000.0,33818000000.0,237000000.0,237000000.0,609000000.0,257000000.0,866000000.0,32972000000.0,11329000000.0,8675000000.0,2654000000.0,44301000000.0,16621000000.0,60922000000.0,60922000000.0,NVDA,0.0,0.0,0.0,,,,,,0.0,,,
2023-01-31,-284130000.0,0.21,7339000000.0,4368000000.0,1543000000.0,11618000000.0,5986000000.0,4443000000.0,5000000.0,262000000.0,267000000.0,5436870000.0,4368000000.0,21397000000.0,4224000000.0,25070000000.0,24870000000.0,0.174,0.176,4368000000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,-187000000.0,4181000000.0,-1401000000.0,-48000000.0,5000000.0,262000000.0,267000000.0,5577000000.0,9779000000.0,7339000000.0,2440000000.0,15356000000.0,11618000000.0,26974000000.0,26974000000.0,NVDA,-1353000000.0,-1353000000.0,-1353000000.0,,,,,,1353000000.0,,,
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,0.0,0.0,0.0,,,,,,0.0,,,
2025-12-31,4071984000.0,0.168,156460000000.0,132170000000.0,21136000000.0,162535000000.0,180698000000.0,159562000000.0,3601000000.0,736000000.0,4337000000.0,112003984000.0,132170000000.0,273797000000.0,129039000000.0,12230000000.0,12116000000.0,10.81,10.91,132170000000.0,132170000000.0,132170000000.0,132170000000.0,132170000000.0,26656000000.0,158826000000.0,26186000000.0,1667000000.0,3601000000.0,736000000.0,4337000000.0,129039000000.0,111262000000.0,61087000000.0,50175000000.0,240301000000.0,162535000000.0,402836000000.0,402836000000.0,GOOGL,24238000000.0,24238000000.0,281000000.0,-281000000.0,24238000000.0,28693000000.0,21482000000.0,21482000000.0,,281000000.0,,
2024-12-31,370968000.0,0.164,133132000000.0,100118000000.0,15311000000.0,146306000000.0,135394000000.0,120083000000.0,4214000000.0,268000000.0,4482000000.0,98226968000.0,100118000000.0,237628000000.0,112390000000.0,12447000000.0,12319000000.0,8.04,8.13,100118000000.0,100118000000.0,100118000000.0,100118000000.0,100118000000.0,19697000000.0,119815000000.0,3211000000.0,1137000000.0,4214000000.0,268000000.0,4482000000.0,112390000000.0,91322000000.0,49326000000.0,41996000000.0,203712000000.0,146306000000.0,350018000000.0,350018000000.0,GOOGL,2262000000.0,2262000000.0,-188000000.0,188000000.0,2262000000.0,27808000000.0,14188000000.0,14188000000.0,,-188000000.0,,
2023-12-31,-286479000.0,0.139,100032000000.0,73795000000.0,11946000000.0,133332000000.0,97971000000.0,86025000000.0,3557000000.0,308000000.0,3865000000.0,75569521000.0,73795000000.0,223101000000.0,84293000000.0,12722000000.0,12630000000.0,5.8,5.84,73795000000.0,73795000000.0,73795000000.0,73795000000.0,73795000000.0,11922000000.0,85717000000.0,-2133000000.0,556000000.0,3557000000.0,308000000.0,3865000000.0,84293000000.0,89769000000.0,45427000000.0,44342000000.0,174062000000.0,133332000000.0,307394000000.0,307394000000.0,GOOGL,-2061000000.0,-2061000000.0,-628000000.0,628000000.0,-2061000000.0,27917000000.0,16425000000.0,16425000000.0,,-628000000.0,,
2022-12-31,-981507000.0,0.159,91333000000.0,59972000000.0,13475000000.0,126203000000.0,85160000000.0,71685000000.0,1817000000.0,357000000.0,2174000000.0,65163493000.0,59972000000.0,207994000000.0,74842000000.0,13159000000.0,13063000000.0,4.56,4.59,59972000000.0,59972000000.0,59972000000.0,59972000000.0,59972000000.0,11356000000.0,71328000000.0,-5331000000.0,1179000000.0,1817000000.0,357000000.0,2174000000.0,74842000000.0,81791000000.0,39500000000.0,42291000000.0,156633000000.0,126203000000.0,282836000000.0,282836000000.0,GOOGL,-6173000000.0,-6173000000.0,-337000000.0,337000000.0,-6173000000.0,26567000000.0,15724000000.0,15724000000.0,,-337000000.0,,
2025-12-31,3004930994.440505,0.196144,150021000000.0,77670000000.0,65756000000.0,356414000000.0,165341000000.0,99585000000.0,2107000000.0,2274000000.0,4381000000.0,65354930994.440506,77670000000.0,636949000000.0,79975000000.0,10827000000.0,10656000000.0,7.17,7.29,77670000000.0,77670000000.0,77670000000.0,77670000000.0,77670000000.0,19087000000.0,97311000000.0,15229000000.0,-91000000.0,2107000000.0,2274000000.0,4381000000.0,79975000000.0,280535000000.0,,58301000000.0,360510000000.0,356414000000.0,716924000000.0,716924000000.0,AMZN,15320000000.0,15320000000.0,,,15320000000.0,47129000000.0,11172000000.0,11172000000.0,,,-554000000.0,222234000000.0
2024-12-31,-247916460.197627,0.135031,125651000000.0,59248000000.0,52795000000.0,326288000000.0,123815000000.0,71020000000.0,2271000000.0,2406000000.0,4677000000.0,60836083539.802376,59248000000.0,569366000000.0,68593000000.0,10721000000.0,10473000000.0,5.53,5.66,59248000000.0,59248000000.0,59248000000.0,59248000000.0,59248000000.0,9265000000.0,68614000000.0,-2250000000.0,-414000000.0,2271000000.0,2406000000.0,4677000000.0,68593000000.0,243078000000.0,,55266000000.0,311671000000.0,326288000000.0,637959000000.0,637959000000.0,AMZN,-1836000000.0,-1836000000.0,,,-1836000000.0,43907000000.0,11359000000.0,11359000000.0,,,-101000000.0,187812000000.0
2023-12-31,199057432.702293,0.189579,88352000000.0,30425000000.0,48663000000.0,304739000000.0,89402000000.0,40739000000.0,-233000000.0,3182000000.0,2949000000.0,29574057432.702293,30425000000.0,537933000000.0,36852000000.0,10492000000.0,10304000000.0,2.9,2.95,30425000000.0,30425000000.0,30425000000.0,30425000000.0,30425000000.0,7120000000.0,37557000000.0,938000000.0,-112000000.0,-233000000.0,3182000000.0,2949000000.0,36852000000.0,233194000000.0,,56186000000.0,270046000000.0,304739000000.0,574785000000.0,574785000000.0,AMZN,1050000000.0,1050000000.0,,,1050000000.0,44370000000.0,11816000000.0,11816000000.0,,,-12000000.0,177008000000.0
2022-12-31,-3415860000.0,0.21,54618000000.0,-2722000000.0,41921000000.0,288831000000.0,38352000000.0,-3569000000.0,-1378000000.0,2367000000.0,989000000.0,10128140000.0,-2722000000.0,501735000000.0,12248000000.0,10189000000.0,10189000000.0,-0.27,-0.27,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-3217000000.0,-5936000000.0,-16806000000.0,-540000000.0,-1378000000.0,2367000000.0,989000000.0,12248000000.0,212904000000.0,,54129000000.0,225152000000.0,288831000000.0,513983000000.0,513983000000.0,AMZN,-16266000000.0,-16266000000.0,,,-16266000000.0,42238000000.0,11891000000.0,11891000000.0,,,-3000000.0,158775000000.0
